Venue,City,Venue Count,Edit Venue,Edit City,Comments,,ct,st,ln st
Kansas City Municipal Auditorium,"Kansas City, MO",2,,,,,Kansas City,MO,2
Memorial Hall,"Kansas City, MO",2,,,,,Kansas City,MO,2
Starlight Theater,"Kansas City, MO",3,,,,,Kansas City,MO,2
2,"Knickerbocker Arena, Albany, NY",2,,,,,Knickerbocker Arena,Albany,6
Thelma Theatre,"LA, CA",1,,,,,LA,CA,2
Irvine Meadows Amphitheater,"Laguna Hills, CA",9,,,ok,,Laguna Hills,CA,2
Irvine Meadows Ampitheatre,"Laguna Hills, CA",3,Irvine Meadows Amphitheater,,e,,Laguna Hills,CA,2
Olympic Center,"Lake Placid, NY",1,,,,,Lake Placid,NY,2
Lakeland Civic Center,"Lakeland, FL",3,,,,,Lakeland,FL,2
Capital Centre,Landover,1,,"Landover, MD",e,,Landover,,0
Capital Center,"Landover, MD",4,Capital Centre,,e,,Landover,MD,2
Capital Centre,"Landover, MD",17,,,ok,,Landover,MD,2
Capitol Center,"Landover, MD",1,Capital Centre,,e,,Landover,MD,2
USAIR Arena,"Landover, MD",2,,,,,Landover,MD,2
USAir Arena,"Landover, MD",1,,,,,Landover,MD,2
Aladdin Theater,"Las Vegas, NV",3,,,ok,,Las Vegas,NV,2
Sam Boyd Silver Bowl,"Las Vegas, NV",6,,,ok,,Las Vegas,NV,2
The Sam Boyd Silver Bowl,"Las Vegas, NV",2,Sam Boyd Silver Bowl,,e,,Las Vegas,NV,2
Unknown,"Las Vegas, NV",1,,,,,Las Vegas,NV,2
State Fairgrounds,"Lewiston, ME",1,,,,,Lewiston,ME,2
Rupp Arena (Lexington Center),"Lexington, KY",1,,,,,Lexington,KY,2
Fairgrounds,"Lille, FR",1,,,,,Lille,FR,2
Pershing Municipal Auditorium,"Lincoln, NB",1,,,ok,,Lincoln,NB,2
The Strand Lyceum,"London, UK",4,,,ok,,London,UK,2
Wembley Arena,"London, UK",3,,,ok,,London,UK,2
Alexandra Palace,"London, XE",3,,"London, UK",e,,London,XE,2
Rainbow Theater,"London, XE",8,,,,,London,XE,2
Long Beach,"Long Beach, CA",1,,,,,Long Beach,CA,2
Long Beach Arena,"Long Beach, CA",12,,,,,Long Beach,CA,2
Great Western Forum,"Los Angeles, CA",3,,,,,Los Angeles,CA,2
Hollywood Bowl,"Los Angeles, CA",1,,,,,Los Angeles,CA,2
L.A. Memorial Coliseum,"Los Angeles, CA",1,,,,,Los Angeles,CA,2
Los Angeles Sports Arena,"Los Angeles, CA",7,,,,,Los Angeles,CA,2
Pauley Pavilion (UCLA),"Los Angeles, CA",3,,,,,Los Angeles,CA,2
Shrine Auditorium,"Los Angeles, CA",5,,,,,Los Angeles,CA,2
Shrine Exposition Hall,"Los Angeles, CA",1,,,,,Los Angeles,CA,2
Trooper's Hall,"Los Angeles, CA",1,,,,,Los Angeles,CA,2
Cardinal Stadium,"Louisville, KY",1,,,,,Louisville,KY,2
Freedom Hall,"Louisville, KY",2,,,,,Louisville,KY,2
Freedom Hall,"Lousville, KY",2,,,,,Lousville,KY,2
Radio Luxembourg,LU,1,,,,,LU,,0
Felt Forum,"Madison Square Garden, New York, NY",1,Madison Square Garden,"New York, NY",e,,Madison Square Garden,New,3
Dane County Coliseum,"Madison, WI",5,,,,,Madison,WI,2
Kingswood Theater,"Maple, ON",1,,,,,Maple,ON,2
Riverport Amphitheatre,"Maryland Heights, MO",2,,,,,Maryland Heights,MO,2
2,"McNichols Arena, Denver, CO",2,,,,,McNichols Arena,Denver,6
Jai-Alai Fronton,"Miami, FL",3,,,,,Miami,FL,2
Miami Arena,"Miami, FL",6,,,,,Miami,FL,2
Mill Valley Recreation Center,"Mill Valley, CA",1,,,,,Mill Valley,CA,2
Milwaukee Auditorium,"Milwaukee, WI",2,,,,,Milwaukee,WI,2
Performing Arts Center,"Milwaukee, WI",2,,,,,Milwaukee,WI,2
The Mecca,"Milwaukee, WI",2,,,,,Milwaukee,WI,2
Unknown,"Milwaukee, WI",1,,,,,Milwaukee,WI,2
Labor Temple,"Minneapolis, MN",1,,,,,Minneapolis,MN,2
Metropolitan Center,"Minneapolis, MN",1,,,,,Minneapolis,MN,2
Northrup Auditorium,"Minneapolis, MN",1,,,,,Minneapolis,MN,2
The Metropolitan Sports Center,"Minneapolis, MN",1,,,,,Minneapolis,MN,2
Hubert H. Humphrey Metrodome,"Minniapolis, MN",1,,,,,Minniapolis,MN,2
Adams Field House (U of Montana),"Missoula, MT",1,,,ok,,Missoula,MT,2
Dupont Gym,"MIT, Cambridge, MA",1,,,,,MIT,Cambridge,9
Bob Marley Performing Arts Center,"Montego Bay, XJ",1,,"Montego Bay, XJ",e,,Montego Bay,XJ,2
Laguna Seca Raceway,"Monterey, CA",2,,,,,Monterey,CA,2
Monterey Performing Arts Center,"Monterey, CA",1,,,,,Monterey,CA,2
Morgantown Civic Center,"Morgantown, WV",1,,,,,Morgantown,WV,2
Red Rocks Amphitheater,"Morrison, CO",19,,,,,Morrison,CO,2
Shoreline,"Mountain View, CA",6,,,,,Mountain View,CA,2
Shoreline Amphitheater,"Mountain View, CA",12,,,,,Mountain View,CA,2
Shoreline Ampitheatre,"Mountain View, CA",12,,,,,Mountain View,CA,2
Shoreline Ampitheatre,"Mountain View, MA",3,,,,,Mountain View,MA,2
Deutsches Museum Halle,"Munich, DE",1,,,,,Munich,DE,2
Olympia Halle,"Munich, XG",2,,,,,Munich,XG,2
Nashville Municipal Auditorium,"Nashville, TN",2,,,,,Nashville,TN,2
Vanderbilt University,"Nashville, TN",1,,,,,Nashville,TN,2
2,"Nassau Coliseum, Uniondale, NY",3,,,,,Nassau Coliseum,Uniondale,9
Saturday Night Live,"NBC Studios, New York, NY",1,,,,,NBC Studios,New,3
Athletic Center (Rutgers U),"New Brunswick, NJ",1,,,ok,,New Brunswick,NJ,2
Veterans' Memorial Coliseum,"New Haven, CT",9,,,,,New Haven,CT,2
Lakefront Arena (University of New Orleans),"New Orleans, LA",1,,,,,New Orleans,LA,2
Saenger Performing Arts Center,"New Orleans, LA",3,,,,,New Orleans,LA,2
Unknown,"New Orleans, LA",1,,,,,New Orleans,LA,2
Madison Square Garden,"New York City, NY",1,,"New York, NY",e,,New York City,NY,2
Academy of Music,"New York, NY",7,,,ok,,New York,NY,2
Beacon Theatre,"New York, NY",2,,,ok,,New York,NY,2
Cafe a Go Go,"New York, NY",2,,,ok,,New York,NY,2
Fillmore East,"New York, NY",12,,,ok,,New York,NY,2
Madison Square Garden,"New York, NY",46,,,ok,,New York,NY,2
Manhattan Center,"New York, NY",2,,,ok,,New York,NY,2
NBC Studios,"New York, NY",4,,,ok,,New York,NY,2
Queens College,"New York, NY",1,,,ok,,New York,NY,2
Radio City Music Hall,"New York, NY",8,,,ok,,New York,NY,2
The Palladium,"New York, NY",5,,,ok,,New York,NY,2
Unknown,"Newcastle, England",1,,,,,Newcastle,England,7
City Hall,"Newcastle, UK",1,,,,,Newcastle,UK,2
Niagara Falls Convention Center,"Niagara Falls, NY",1,,,,,Niagara Falls,NY,2
Deer Creek,"Noblesville, IN",3,,,,,Noblesville,IN,2
Deer Creek Amphitheater,"Noblesville, IN",3,,,,,Noblesville,IN,2
Deer Creek Ampitheatre,"Noblesville, IN",2,,,,,Noblesville,IN,2
Deer Creek Music Center,"Noblesville, IN",3,,,,,Noblesville,IN,2
The Scope,"Norfolk, VA",1,,,,,Norfolk,VA,2
Horton Field House (Illinois State U),"Normal, IL",1,,,,,Normal,IL,2
Lloyd Noble Center (U of Oklahoma),"Norman, OK",1,,,,,Norman,OK,2
McGaw Memorial Hall,"Northwestern U., Evanston, IL",1,,,,,Northwestern U.,Evanston,8
2,"Oakland Coliseum, Oakland, CA",7,,,,,Oakland Coliseum,Oakland,7
Alameda County Coliseum,"Oakland, CA",14,Oakland Coliseum,,e,,Oakland,CA,2
Alameda County Stadium,"Oakland, CA",1,Oakland Coliseum,,e,,Oakland,CA,2
Henry J. Kaiser Auditorium,"Oakland, CA",7,,,,,Oakland,CA,2
Henry J. Kaiser Convention Center,"Oakland, CA",24,,,,,Oakland,CA,2
HJK Convention Center,"Oakland, CA",3,,,,,Oakland,CA,2
Oakland Auditorium Arena,"Oakland, CA",15,,,,,Oakland,CA,2
Oakland Coliseum,"Oakland, CA",30,,,,,Oakland,CA,2
Oakland Coliseum Arena,"Oakland, CA",9,Oakland Coliseum,,,,Oakland,CA,2
Oakland Coliseum Stadium,"Oakland, CA",2,Oakland Coliseum,,,,Oakland,CA,2
Oakland-Alameda County Coliseum Arena,"Oakland, CA",6,Oakland Coliseum,,,,Oakland,CA,2
Fairgrounds Arena,"Oklahoma City, OK",1,,,,,Oklahoma City,OK,2
Oklahoma City Music Hall,"Oklahoma City, OK",2,,,,,Oklahoma City,OK,2
Zoo Amphitheater,"Oklahoma City, OK",3,,,,,Oklahoma City,OK,2
Civic Auditorium,"Omaha, NB",1,,,,,Omaha,NB,2
Omaha Auditorium,"Omaha, NE",1,,,,,Omaha,NE,2
Rich Stadium,"Orchard Park, NY",3,,,,,Orchard Park,NY,2
Orlando Arena,"Orlando, FL",4,,,,,Orlando,FL,2
Alfond Arena (U of Maine),"Orono, ME",1,,,ok,,Orono,ME,2
Oxford Plains Speedway,"Oxford, ME",2,,,,,Oxford,ME,2
Frost Amphitheater,"Palo Alto, CA",1,,,,,Palo Alto,CA,2
Frost Amphitheater (Stanford U),"Palo Alto, CA",10,,,,,Palo Alto,CA,2
Frost Amphitheatre (Stanford Univversity),"Palo Alto, CA",1,,,,,Palo Alto,CA,2
Roscoe Maples Pavilion (Stanford U),"Palo Alto, CA",1,,,,,Palo Alto,CA,2
Olympia Theater,"Paris, FR",2,,,,,Paris,FR,2
Palais Des Sports,"Paris, FR",1,,,,,Paris,FR,2
The Zenith,"Paris, FR",2,,,,,Paris,FR,2
Palais Des Sports,"Paris, XF",1,,,,,Paris,XF,2
The Hippodrome,"Paris, XF",1,,,,,Paris,XF,2
Capitol Theater,"Passaic, NJ",7,Capital Centre,,e,,Passaic,NJ,2
Capitol Theatre,"Passaic, NJ",3,,,ok,,Passaic,NJ,2
Paterson State College,"Paterson, NJ",1,,,,,Paterson,NJ,2
Electric Factory,"Philadelphia, PA",1,,,,,Philadelphia,PA,2
JFK Stadium,"Philadelphia, PA",1,,,,,Philadelphia,PA,2
John F. Kennedy Stadium,"Philadelphia, PA",1,,,,,Philadelphia,PA,2
Philadelphia Civic Center,"Philadelphia, PA",5,,,,,Philadelphia,PA,2
Philadelphia Spectrum,"Philadelphia, PA",4,,,,,Philadelphia,PA,2
The Spectrum,"Philadelphia, PA",41,,,,,Philadelphia,PA,2
Blockbuster Desert Sky Pavillion,"Phoenix, AZ",3,,,ok,,Phoenix,AZ,2
